"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group E","bachelor's degree","free/reduced","completed","67","87","85"
"male","group B","high school","free/reduced","completed","76","81","77"
"male","group C","associate's degree","standard","none","83","97","87"
"male","group E","high school","free/reduced","completed","52","46","49"
"female","group B","associate's degree","standard","completed","66","67","75"
"male","group B","some college","free/reduced","none","28","27","26"
"female","group D","associate's degree","free/reduced","completed","83","97","100"
"male","group B","associate's degree","standard","none","56","63","61"
"female","group C","high school","standard","none","76","78","71"
"female","group D","some high school","free/reduced","none","43","52","56"
"female","group E","master's degree","standard","completed","81","79","84"
"male","group B","master's degree","free/reduced","none","77","71","69"
"male","group C","associate's degree","standard","completed","70","65","67"
"female","group C","bachelor's degree","standard","none","77","84","85"
"female","group B","high school","standard","none","82","78","78"
"female","group C","some high school","standard","completed","71","76","69"
"male","group D","some high school","free/reduced","none","61","56","54"
"female","group D","master's degree","standard","none","86","81","90"
"male","group D","associate's degree","standard","none","55","53","48"
"male","group B","high school","standard","none","50","48","46"
"female","group A","some high school","free/reduced","none","65","74","75"
"female","group C","high school","standard","none","58","61","59"
"male","group C","high school","standard","none","77","65","61"
"female","group C","master's degree","standard","none","52","46","50"
"male","group D","high school","standard","completed","78","72","75"
"male","group C","high school","free/reduced","none","79","76","68"
"male","group C","bachelor's degree","free/reduced","completed","44","61","54"
"female","group D","high school","free/reduced","completed","67","72","73"
"female","group D","associate's degree","standard","completed","61","70","78"
"male","group C","bachelor's degree","standard","none","81","66","72"
"female","group A","some high school","free/reduced","completed","74","88","86"
"male","group D","bachelor's degree","standard","completed","72","75","76"
"female","group B","some high school","standard","none","55","73","65"
"male","group E","bachelor's degree","standard","none","87","81","71"
"female","group D","associate's degree","standard","completed","79","87","93"
"male","group D","bachelor's degree","standard","none","75","84","80"
"male","group E","some high school","standard","completed","95","89","88"
"male","group B","associate's degree","free/reduced","none","65","81","72"
"male","group B","high school","free/reduced","completed","58","64","60"
"female","group B","some college","free/reduced","completed","67","86","85"
"female","group D","some college","standard","completed","79","95","93"
"female","group C","associate's degree","standard","none","77","85","79"
"male","group B","some high school","free/reduced","none","62","51","47"
"male","group C","some high school","standard","none","55","53","47"
"male","group D","associate's degree","free/reduced","none","83","79","77"
"female","group A","high school","standard","completed","58","68","72"
"female","group B","some college","standard","none","62","71","63"
"female","group C","some college","standard","none","81","89","94"
"male","group C","some high school","free/reduced","completed","35","46","44"
"male","group D","high school","standard","completed","64","62","64"
"male","group C","high school","free/reduced","none","45","51","43"
"male","group B","associate's degree","free/reduced","none","56","64","57"
"female","group E","associate's degree","standard","completed","100","100","100"
"female","group D","high school","standard","completed","55","62","66"
"female","group A","some college","free/reduced","completed","76","87","89"
"female","group C","high school","standard","none","64","75","75"
"male","group B","some college","free/reduced","none","47","34","35"
"male","group E","bachelor's degree","standard","completed","83","70","75"
"female","group D","some college","standard","completed","56","55","61"
"female","group C","high school","standard","completed","56","77","68"
"female","group B","some college","standard","none","76","88","86"
"female","group C","some college","standard","completed","55","69","71"
"male","group B","master's degree","standard","none","85","79","72"
"male","group C","associate's degree","standard","completed","92","90","92"
"female","group D","some high school","free/reduced","completed","65","70","68"
"female","group D","master's degree","standard","none","82","75","82"
"male","group D","high school","standard","completed","82","78","77"
"female","group C","some college","standard","completed","67","74","77"
"female","group D","some college","standard","completed","89","100","100"
"male","group D","some college","free/reduced","none","40","48","40"
"male","group B","some college","free/reduced","completed","49","56","58"
"male","group E","some college","standard","completed","99","97","95"
"female","group D","some high school","standard","none","62","75","77"
"male","group B","bachelor's degree","free/reduced","none","81","70","70"
"male","group C","some high school","standard","none","75","73","69"
"female","group A","associate's degree","standard","none","79","82","80"
"male","group C","some high school","free/reduced","none","44","52","47"
"female","group B","associate's degree","standard","completed","79","84","93"
"female","group B","some college","free/reduced","none","54","71","69"
"male","group B","associate's degree","standard","none","64","61","59"
"male","group D","associate's degree","standard","none","66","70","70"
"female","group C","associate's degree","free/reduced","none","29","46","42"
"male","group E","some college","standard","completed","82","74","76"
"male","group B","associate's degree","standard","none","64","74","60"
"male","group B","associate's degree","standard","completed","83","80","79"
"male","group E","associate's degree","standard","none","66","58","55"
"male","group C","some college","standard","completed","81","85","87"
"female","group C","associate's degree","free/reduced","completed","58","74","76"
"male","group C","high school","standard","none","64","72","58"
"female","group C","bachelor's degree","free/reduced","completed","77","93","91"
"male","group B","high school","standard","completed","48","54","57"
"female","group D","associate's degree","standard","none","76","70","75"
"male","group C","high school","standard","completed","72","70","60"
"male","group B","some high school","standard","completed","73","75","72"
"male","group C","some high school","free/reduced","none","25","21","17"
"female","group D","high school","standard","none","71","76","80"
"male","group B","some high school","standard","none","67","57","58"
"female","group D","associate's degree","standard","completed","83","97","95"
"female","group C","some college","standard","none","76","90","88"
"male","group C","some high school","free/reduced","none","48","57","45"
"male","group D","bachelor's degree","free/reduced","completed","54","48","51"
"female","group C","some college","standard","none","55","67","59"
"male","group C","some college","standard","none","56","57","49"
"male","group E","bachelor's degree","standard","none","80","69","65"
"female","group D","associate's degree","free/reduced","completed","82","89","97"
"male","group C","some college","standard","none","75","73","67"
"female","group C","high school","free/reduced","completed","73","84","78"
"male","group B","high school","standard","none","79","75","71"
"female","group D","master's degree","standard","none","69","73","75"
"male","group D","some college","standard","none","75","63","61"
"male","group D","some high school","free/reduced","none","54","54","52"
"female","group C","associate's degree","free/reduced","none","41","56","53"
"male","group B","associate's degree","standard","none","74","78","80"
"female","group B","associate's degree","free/reduced","completed","69","89","87"
"male","group D","some high school","standard","none","70","63","58"
"female","group A","some college","free/reduced","completed","50","65","57"
"female","group D","bachelor's degree","standard","none","62","75","73"
"female","group C","high school","standard","none","61","71","72"
"female","group E","some high school","free/reduced","completed","88","96","99"
"female","group E","associate's degree","free/reduced","completed","86","90","92"
"male","group B","associate's degree","free/reduced","none","51","50","43"
"female","group B","some high school","standard","none","48","52","53"
"female","group D","associate's degree","free/reduced","completed","67","78","84"
"female","group C","bachelor's degree","standard","none","62","71","70"
"male","group E","some high school","standard","completed","100","89","83"
"female","group A","high school","standard","completed","87","97","96"
"female","group C","associate's degree","free/reduced","completed","34","71","64"
"female","group D","bachelor's degree","standard","none","48","57","60"
"female","group C","high school","standard","none","53","77","70"
"female","group B","master's degree","standard","completed","74","89","85"
"male","group E","bachelor's degree","standard","none","89","76","73"
"male","group E","associate's degree","standard","completed","85","71","67"
"female","group D","some college","free/reduced","completed","71","89","88"
"female","group B","high school","standard","none","39","48","41"
"female","group A","associate's degree","standard","none","72","79","79"
"male","group A","associate's degree","free/reduced","none","66","61","57"
"female","group A","associate's degree","free/reduced","none","48","69","71"
"male","group C","master's degree","standard","none","63","58","52"
"female","group C","some high school","standard","none","66","75","69"
"female","group C","some high school","free/reduced","none","46","48","47"
"female","group C","some college","standard","none","52","53","53"
"male","group C","some college","free/reduced","completed","42","58","52"
"female","group D","some college","standard","completed","91","100","100"
"female","group C","associate's degree","free/reduced","none","78","84","83"
"female","group C","bachelor's degree","standard","none","55","65","59"
"female","group B","some college","standard","none","72","79","80"
"female","group E","some college","free/reduced","none","41","60","51"
"female","group D","high school","standard","completed","55","57","57"
"female","group D","some high school","standard","none","50","57","59"
"female","group C","some college","standard","completed","69","72","74"
"female","group B","bachelor's degree","standard","none","76","86","84"
"male","group C","some college","standard","none","79","73","69"
"female","group C","some high school","free/reduced","none","42","43","41"
"male","group B","some high school","free/reduced","completed","65","65","66"
"female","group E","some high school","free/reduced","none","55","57","58"
"male","group B","bachelor's degree","free/reduced","none","63","60","50"
"female","group C","associate's degree","free/reduced","completed","57","80","81"
"female","group C","some high school","standard","none","60","64","69"
"female","group C","some college","standard","completed","64","78","74"
"male","group B","associate's degree","standard","none","76","70","62"
"female","group D","some college","standard","none","83","91","83"
"male","group B","high school","free/reduced","completed","64","60","60"
"female","group E","some high school","standard","none","83","90","89"
"male","group D","high school","standard","completed","89","85","85"
"male","group B","some college","standard","none","84","75","72"
"female","group B","some high school","free/reduced","none","36","54","51"
"male","group C","some high school","standard","none","73","81","76"
"female","group C","some high school","standard","none","61","74","66"
"female","group C","bachelor's degree","standard","none","75","87","88"
"male","group E","high school","standard","completed","75","76","66"
"female","group A","some high school","standard","none","76","87","82"
"female","group B","some high school","standard","completed","78","88","91"
"female","group C","master's degree","free/reduced","completed","70","89","86"
"female","group B","master's degree","free/reduced","none","50","54","55"
"male","group C","high school","free/reduced","completed","51","48","42"
"female","group B","some college","free/reduced","none","62","72","70"
"female","group D","some college","free/reduced","none","82","84","80"
"female","group E","some college","standard","none","82","87","84"
"male","group D","high school","standard","none","69","56","56"
"female","group E","some high school","standard","none","73","72","78"
"male","group B","some college","standard","completed","61","68","68"
"male","group C","some college","standard","none","83","81","81"
"female","group B","master's degree","standard","completed","96","100","100"
"female","group D","associate's degree","free/reduced","none","51","58","57"
"male","group D","associate's degree","free/reduced","none","68","63","56"
"male","group E","some college","free/reduced","completed","59","61","61"
"male","group C","some college","free/reduced","none","34","44","40"
"female","group C","high school","free/reduced","none","53","71","69"
"female","group D","master's degree","standard","completed","73","75","86"
"male","group D","high school","free/reduced","none","64","60","59"
"female","group A","some high school","free/reduced","none","49","61","57"
"male","group C","high school","standard","none","57","61","54"
"female","group C","associate's degree","standard","none","62","63","72"
"male","group C","master's degree","free/reduced","none","53","61","54"
"female","group D","some college","standard","none","75","80","84"
"male","group D","bachelor's degree","standard","completed","71","75","70"
"male","group E","some college","standard","completed","80","69","69"
"female","group E","high school","standard","none","82","81","77"
"female","group A","bachelor's degree","standard","none","70","81","76"
"female","group E","associate's degree","standard","none","72","69","65"
"male","group C","high school","standard","none","59","65","60"
"female","group D","associate's degree","free/reduced","none","60","74","79"
"male","group E","bachelor's degree","free/reduced","completed","96","99","98"
"male","group B","some college","standard","completed","82","81","78"
"female","group E","some college","standard","none","74","78","74"
"female","group C","associate's degree","standard","none","83","82","78"
"male","group D","some college","free/reduced","completed","66","68","69"
"male","group B","some high school","standard","none","52","48","49"
"male","group D","some high school","standard","completed","74","70","70"
"male","group B","bachelor's degree","free/reduced","none","62","60","52"
"male","group B","master's degree","standard","none","92","83","81"
"male","group D","high school","standard","none","54","67","55"
"male","group B","some high school","free/reduced","completed","72","87","77"
"male","group D","bachelor's degree","standard","none","66","62","60"
"male","group E","some high school","standard","none","90","76","70"
"female","group E","some college","free/reduced","completed","82","85","93"
"female","group B","some high school","free/reduced","none","45","67","58"
"male","group C","bachelor's degree","free/reduced","none","83","84","77"
"male","group D","some college","free/reduced","none","53","55","54"
"female","group E","some high school","standard","none","71","78","73"
"male","group B","bachelor's degree","standard","completed","66","68","65"
"female","group D","associate's degree","standard","none","75","78","83"
"male","group D","some high school","standard","completed","92","90","87"
"female","group E","high school","standard","completed","67","69","70"
"female","group C","associate's degree","standard","completed","79","85","87"
"female","group C","high school","standard","completed","63","66","71"
"female","group E","high school","standard","completed","84","92","97"
"male","group E","high school","standard","completed","77","74","70"
"male","group C","high school","standard","none","62","64","58"
"male","group D","bachelor's degree","standard","none","80","69","68"
"female","group C","bachelor's degree","standard","none","60","71","69"
"male","group D","some college","standard","none","87","72","75"
"male","group C","associate's degree","standard","none","80","79","72"
"male","group C","some college","standard","completed","95","95","93"
"female","group E","associate's degree","standard","completed","74","81","88"
"male","group D","some college","free/reduced","none","65","52","53"
"male","group B","some high school","standard","none","80","67","65"
"male","group B","master's degree","standard","none","69","55","53"
"female","group B","high school","standard","none","83","86","82"
"female","group B","associate's degree","free/reduced","completed","62","72","78"
"male","group D","high school","free/reduced","completed","55","64","59"
"male","group D","high school","standard","completed","80","68","79"
"male","group E","some high school","standard","completed","75","71","65"
"female","group D","some college","standard","none","65","84","83"
"male","group C","associate's degree","standard","completed","87","87","85"
"female","group E","bachelor's degree","standard","completed","93","100","100"
"female","group B","some college","free/reduced","completed","68","80","81"
"female","group E","some college","free/reduced","none","62","65","67"
"male","group C","some high school","standard","completed","91","81","84"
"male","group B","associate's degree","free/reduced","completed","58","57","56"
"female","group C","associate's degree","standard","none","93","100","98"
"male","group D","some college","standard","completed","79","66","65"
"female","group C","master's degree","standard","none","48","58","57"
"female","group E","high school","free/reduced","none","62","64","65"
"female","group A","associate's degree","standard","none","67","74","71"
"female","group C","some college","free/reduced","none","41","54","53"
"male","group B","some college","standard","none","77","78","72"
"male","group B","associate's degree","standard","none","90","87","86"
"female","group C","some high school","standard","none","62","68","69"
"female","group B","high school","standard","none","51","59","57"
"male","group C","master's degree","free/reduced","none","51","48","47"
"female","group C","some college","free/reduced","completed","80","88","87"
"male","group E","associate's degree","free/reduced","completed","79","76","82"
"female","group D","associate's degree","free/reduced","completed","40","48","52"
"female","group D","high school","standard","none","78","77","80"
"female","group D","some high school","standard","none","69","83","85"
"female","group D","high school","standard","none","73","85","82"
"male","group B","some high school","standard","completed","55","58","61"
"male","group A","some college","standard","none","77","68","68"
"male","group C","some high school","free/reduced","none","47","46","41"
"male","group C","associate's degree","free/reduced","none","58","52","54"
"male","group C","high school","standard","none","90","73","70"
"female","group D","master's degree","standard","none","56","67","70"
"female","group C","bachelor's degree","standard","none","61","68","69"
"male","group C","associate's degree","standard","none","69","58","58"
"female","group A","high school","free/reduced","none","64","70","64"
"male","group B","master's degree","free/reduced","completed","77","80","81"
"female","group C","bachelor's degree","standard","none","87","82","89"
"male","group B","some high school","standard","completed","74","64","68"
"male","group B","high school","standard","completed","70","68","69"
"male","group C","high school","standard","none","79","75","75"
"male","group D","high school","standard","completed","90","75","84"
"male","group D","some college","standard","none","81","69","72"
"male","group D","high school","standard","completed","47","42","40"
"female","group D","high school","free/reduced","none","46","57","59"
"female","group B","high school","standard","completed","60","64","71"
"male","group D","master's degree","standard","none","90","81","86"
"male","group C","associate's degree","standard","none","68","52","56"
"female","group B","associate's degree","standard","none","78","96","92"
"female","group B","associate's degree","standard","none","74","91","86"
"female","group B","associate's degree","standard","none","61","75","73"
"female","group C","some high school","standard","none","45","53","51"
"female","group C","associate's degree","standard","completed","74","81","84"
"female","group A","associate's degree","standard","completed","89","97","100"
"female","group D","some high school","free/reduced","completed","58","77","77"
"male","group C","bachelor's degree","standard","completed","89","88","81"
"male","group C","high school","standard","none","69","80","76"
"female","group B","high school","free/reduced","none","31","47","42"
"male","group C","some high school","free/reduced","none","53","57","43"
"male","group C","some high school","standard","none","67","69","65"
"male","group E","some high school","standard","none","62","54","48"
"male","group C","bachelor's degree","standard","none","69","71","72"
"female","group B","high school","standard","none","56","61","63"
"male","group E","some high school","standard","completed","84","75","72"
"male","group B","associate's degree","free/reduced","none","48","42","41"
"female","group D","some high school","free/reduced","none","54","66","71"
"male","group B","some college","free/reduced","completed","48","49","50"
"female","group B","some college","standard","none","85","96","91"
"female","group D","high school","standard","none","66","65","71"
"male","group C","some high school","standard","none","51","51","44"
"female","group B","some college","standard","completed","69","69","75"
"male","group D","high school","free/reduced","none","50","42","41"
"female","group C","high school","standard","none","55","60","65"
"male","group B","associate's degree","free/reduced","completed","68","67","70"
"female","group B","associate's degree","standard","completed","74","80","80"
"male","group E","some college","free/reduced","none","48","43","45"
"male","group D","associate's degree","standard","none","73","63","66"
"female","group A","associate's degree","free/reduced","none","36","44","51"
"female","group B","some college","standard","none","87","83","88"
"female","group B","some college","free/reduced","none","76","81","80"
"male","group E","some college","standard","none","82","71","68"
"female","group B","high school","standard","none","57","68","57"
"female","group C","bachelor's degree","free/reduced","completed","43","65","64"
"female","group C","some college","standard","none","49","57","58"
"female","group C","high school","standard","none","52","59","55"
"female","group D","bachelor's degree","standard","none","70","73","76"
"male","group C","master's degree","standard","none","55","46","40"
"female","group C","high school","free/reduced","none","38","42","44"
"female","group C","some high school","free/reduced","none","50","74","68"
"male","group B","some college","standard","none","52","53","52"
"male","group C","some college","free/reduced","none","55","65","54"
"female","group C","some college","standard","completed","77","89","88"
"female","group C","high school","standard","completed","72","77","75"
"male","group B","associate's degree","free/reduced","completed","65","67","61"
"female","group A","associate's degree","free/reduced","completed","52","70","66"
"male","group D","master's degree","standard","none","89","89","86"
"male","group E","high school","standard","none","65","48","46"
"female","group A","some college","free/reduced","none","55","59","58"
"male","group D","some college","free/reduced","none","58","66","67"
"male","group E","high school","standard","none","84","83","77"
"female","group B","associate's degree","standard","none","65","70","68"
"female","group C","bachelor's degree","standard","none","51","46","50"
"male","group D","some high school","standard","none","32","31","26"
"male","group A","master's degree","standard","none","70","66","65"
"male","group C","some high school","free/reduced","completed","54","54","54"
"male","group E","some high school","standard","none","85","72","72"
"male","group C","high school","standard","none","52","53","49"
"male","group D","associate's degree","standard","none","77","65","63"
"female","group C","high school","standard","none","44","43","49"
"female","group B","high school","free/reduced","none","49","56","57"
"female","group D","associate's degree","standard","completed","88","94","97"
"male","group D","some college","free/reduced","none","46","48","46"
"female","group D","some college","free/reduced","none","59","65","73"
"female","group D","some high school","free/reduced","completed","46","74","74"
"female","group C","associate's degree","standard","none","61","70","68"
"male","group D","high school","free/reduced","none","77","74","74"
"male","group B","some college","standard","none","86","88","82"
"female","group D","associate's degree","standard","completed","61","66","74"
"female","group D","master's degree","standard","completed","98","98","100"
"male","group B","bachelor's degree","standard","completed","76","75","76"
"female","group E","high school","standard","completed","91","96","95"
"female","group B","bachelor's degree","standard","none","82","87","87"
"female","group B","some college","standard","completed","93","100","100"
"male","group D","some college","standard","completed","70","62","69"
"male","group A","some high school","free/reduced","none","57","59","60"
"female","group D","some high school","standard","completed","67","86","84"
"male","group C","associate's degree","free/reduced","none","47","43","42"
"female","group B","high school","standard","none","78","89","84"
"male","group E","associate's degree","standard","none","65","59","51"
"male","group C","some high school","standard","completed","74","77","69"
"male","group D","associate's degree","standard","none","86","85","81"
"male","group D","bachelor's degree","free/reduced","completed","84","92","84"
"female","group D","some high school","free/reduced","none","54","61","61"
"female","group B","bachelor's degree","standard","completed","87","100","100"
"female","group D","some college","standard","none","64","80","76"
"female","group E","master's degree","free/reduced","none","71","80","78"
"female","group A","some high school","standard","none","49","54","56"
"male","group D","bachelor's degree","standard","completed","86","82","81"
"male","group B","some high school","standard","none","80","79","78"
"female","group B","bachelor's degree","standard","none","72","77","75"
"male","group E","high school","free/reduced","none","68","59","59"
"female","group C","associate's degree","standard","completed","62","70","78"
"male","group D","bachelor's degree","free/reduced","completed","94","92","91"
"male","group D","associate's degree","standard","completed","71","60","63"
"male","group C","some college","standard","none","87","77","78"
"male","group B","some college","free/reduced","none","46","34","34"
"male","group D","high school","standard","none","46","48","46"
"female","group B","some high school","standard","none","55","62","65"
"female","group B","some high school","free/reduced","none","58","72","70"
"female","group B","master's degree","free/reduced","none","75","84","85"
"female","group E","some high school","standard","completed","77","83","86"
"male","group C","high school","standard","none","52","52","54"
"female","group B","some college","standard","none","67","75","68"
"female","group D","master's degree","free/reduced","none","82","80","81"
"female","group B","some high school","free/reduced","completed","51","69","70"
"male","group C","some high school","standard","none","85","91","80"
"female","group E","high school","standard","none","93","84","88"
"female","group C","some college","standard","completed","70","78","85"
"male","group E","bachelor's degree","free/reduced","none","64","51","53"
"female","group E","associate's degree","free/reduced","none","66","75","72"
"female","group D","some college","free/reduced","none","42","42","49"
"female","group A","associate's degree","free/reduced","none","39","54","54"
"male","group A","high school","free/reduced","completed","71","82","73"
"female","group A","some high school","standard","none","66","68","72"
"female","group B","associate's degree","standard","none","85","90","93"
"female","group B","some high school","standard","completed","59","72","72"
"female","group D","master's degree","standard","none","78","77","87"
"female","group E","high school","free/reduced","none","79","88","79"
"female","group D","associate's degree","free/reduced","none","63","77","76"
"male","group D","some high school","standard","completed","78","73","66"
"male","group B","associate's degree","free/reduced","none","49","53","49"
"female","group B","some high school","standard","none","64","74","70"
"female","group A","some college","standard","completed","92","95","95"
"female","group E","master's degree","standard","completed","93","100","100"
"female","group D","associate's degree","standard","none","57","62","58"
"male","group B","associate's degree","standard","completed","76","65","67"
"male","group E","associate's degree","standard","completed","77","60","69"
"female","group B","some college","free/reduced","none","43","47","53"
"male","group E","some high school","standard","none","95","88","85"
"female","group B","associate's degree","free/reduced","none","47","51","44"
"female","group A","some high school","free/reduced","none","43","64","62"
"female","group C","high school","standard","completed","64","63","70"
"female","group D","some college","standard","none","53","70","68"
"male","group D","associate's degree","standard","none","56","47","47"
"male","group C","high school","standard","none","54","60","49"
"male","group C","associate's degree","standard","completed","90","96","89"
"female","group E","some college","standard","none","55","52","54"
"female","group C","some high school","standard","none","81","80","82"
"male","group C","high school","standard","completed","60","66","64"
"female","group C","some college","standard","none","63","81","81"
"female","group E","some high school","free/reduced","completed","66","78","74"
"female","group B","some college","standard","none","47","58","59"
"male","group C","some college","free/reduced","none","59","60","60"
"female","group C","some college","standard","completed","62","75","72"
"female","group D","high school","free/reduced","completed","32","43","46"
"female","group E","associate's degree","standard","none","95","92","90"
"male","group A","some college","standard","completed","76","73","74"
"male","group C","master's degree","standard","none","100","90","91"
"male","group C","some high school","standard","none","69","53","52"
"male","group B","some college","standard","none","53","58","56"
"female","group C","some high school","free/reduced","none","45","68","58"
"female","group C","bachelor's degree","standard","none","80","81","77"
"female","group E","some college","standard","none","76","70","71"
"female","group D","associate's degree","free/reduced","completed","67","84","89"
"female","group A","high school","standard","completed","79","88","89"
"female","group A","high school","standard","completed","53","64","72"
"female","group E","associate's degree","standard","completed","98","100","100"
"female","group B","some high school","free/reduced","none","37","50","48"
"male","group C","some college","free/reduced","none","44","55","49"
"male","group D","associate's degree","standard","none","74","70","57"
"male","group D","high school","standard","none","61","54","49"
"male","group B","some college","standard","none","75","69","69"
"female","group C","high school","standard","completed","59","78","80"
"male","group C","associate's degree","free/reduced","none","65","69","62"
"female","group C","some high school","standard","completed","59","64","62"
"male","group B","associate's degree","standard","none","78","70","72"
"male","group C","some college","standard","none","77","71","64"
"male","group B","bachelor's degree","standard","completed","65","71","61"
"male","group B","some college","free/reduced","completed","62","58","61"
"female","group C","high school","standard","none","43","51","54"
"female","group E","associate's degree","free/reduced","none","65","77","75"
"male","group D","some college","standard","none","79","78","74"
"male","group D","some high school","free/reduced","none","57","62","56"
"male","group C","associate's degree","standard","none","76","67","60"
"male","group D","some high school","free/reduced","completed","59","48","49"
"female","group C","some college","free/reduced","none","48","70","63"
"female","group A","associate's degree","standard","completed","51","61","68"
"female","group C","some college","standard","completed","50","76","73"
"male","group E","associate's degree","standard","none","89","83","77"
"male","group C","some high school","free/reduced","none","37","43","39"
"female","group B","associate's degree","standard","none","81","87","90"
"male","group E","some college","standard","none","96","81","76"
"male","group C","bachelor's degree","free/reduced","none","59","74","64"
"female","group D","some college","standard","completed","75","82","86"
"male","group D","some college","standard","none","53","45","46"
"female","group C","high school","standard","none","72","77","70"
"male","group E","high school","standard","none","63","54","52"
"male","group A","associate's degree","standard","none","64","65","65"
"female","group E","associate's degree","free/reduced","none","82","91","84"
"female","group D","high school","standard","none","66","78","81"
"female","group B","high school","standard","none","79","79","71"
"female","group B","high school","standard","none","70","71","70"
"male","group E","associate's degree","free/reduced","none","85","84","74"
"female","group C","some college","free/reduced","none","53","61","63"
"female","group C","bachelor's degree","standard","completed","75","94","89"
"female","group D","associate's degree","free/reduced","none","81","85","88"
"female","group E","some college","free/reduced","none","59","55","55"
"female","group C","some college","standard","none","60","73","68"
"male","group B","some high school","standard","none","56","53","51"
"male","group B","some college","free/reduced","none","66","69","65"
"female","group E","some college","standard","none","67","79","71"
"male","group B","bachelor's degree","standard","completed","79","65","69"
"male","group C","associate's degree","free/reduced","none","29","30","25"
"female","group E","associate's degree","standard","none","87","94","91"
"male","group B","bachelor's degree","standard","completed","71","63","75"
"female","group C","some high school","standard","completed","84","96","100"
"female","group C","some college","standard","completed","60","71","71"
"male","group D","high school","standard","completed","58","58","54"
"female","group D","some high school","standard","none","51","56","61"
"male","group C","some high school","standard","none","66","63","53"
"male","group C","associate's degree","standard","none","81","83","76"
"female","group C","high school","standard","none","62","74","71"
"female","group C","some high school","standard","completed","86","100","97"
"female","group B","some college","free/reduced","none","76","76","78"
"female","group B","some college","standard","none","92","95","88"
"female","group C","high school","standard","none","71","74","68"
"male","group A","associate's degree","free/reduced","completed","61","74","71"
"female","group D","some college","free/reduced","none","45","56","56"
"female","group A","master's degree","standard","none","76","74","77"
"female","group D","high school","free/reduced","none","69","77","83"
"male","group E","high school","standard","none","69","61","54"
"female","group D","master's degree","standard","completed","83","96","100"
"female","group C","bachelor's degree","standard","completed","78","82","85"
"male","group B","high school","standard","completed","75","70","69"
"male","group C","high school","standard","completed","85","91","87"
"female","group C","high school","standard","none","43","58","54"
"female","group C","some high school","free/reduced","completed","61","66","66"
"male","group A","some college","standard","none","61","72","64"
"male","group C","some high school","standard","completed","90","88","84"
"female","group D","high school","standard","none","24","37","34"
